date,close,start,high,low,volume,transactionPrice,capitalization
2022-02-04,74000,74300,74600,73400,12730034,941413000000.0,441764000000000.0
2022-02-03,73300,74900,74900,73300,17744721,1314510000000.0,437585000000000.0
2022-01-28,73300,71300,73700,71200,21367447,1552590000000.0,437585000000000.0
2022-01-27,71300,73800,74000,71300,22274777,1603690000000.0,425645000000000.0
2022-01-26,73300,73900,74400,73100,12976730,955547000000.0,437585000000000.0
2022-01-25,74000,74800,75000,73200,17766704,1313120000000.0,441764000000000.0
2022-01-24,75100,75400,75800,74700,13691134,1028860000000.0,448331000000000.0
2022-01-21,75600,75800,75800,74700,15774888,1186290000000.0,451316000000000.0
2022-01-20,76500,76200,76700,75900,9708168,741154000000.0,456688000000000.0
2022-01-19,76300,76500,76900,76100,10598290,810151000000.0,455494000000000.0
2022-01-18,77000,77600,77800,76600,9592788,740279000000.0,459673000000000.0
2022-01-17,77500,77600,77800,76900,8785122,678903000000.0,462658000000000.0
2022-01-14,77300,77700,78100,77100,10096725,781575000000.0,461464000000000.0
2022-01-13,77900,79300,79300,77900,13889401,1088600000000.0,465046000000000.0
2022-01-12,78900,79500,79600,78600,11000502,868911000000.0,471016000000000.0
2022-01-11,78900,78400,79000,78000,13221123,1038830000000.0,471016000000000.0
2022-01-10,78000,78100,78100,77100,9947422,772740000000.0,465643000000000.0
2022-01-07,78300,78100,78400,77400,15163757,1184240000000.0,467434000000000.0
2022-01-06,76900,76700,77600,76600,12931954,996378000000.0,459076000000000.0
2022-01-05,77400,78800,79000,76400,25470640,1967840000000.0,462061000000000.0
2022-01-04,78700,78800,79200,78300,12427416,977991000000.0,469822000000000.0
2022-01-03,78600,79400,79800,78200,13502112,1066010000000.0,469225000000000.0
2021-12-30,78300,78900,79500,78100,14236700,1120740000000.0,467434000000000.0
2021-12-29,78800,80200,80200,78500,19794795,1569040000000.0,470419000000000.0
2021-12-28,80300,80200,80400,79700,18226325,1458200000000.0,479374000000000.0
2021-12-27,80200,80600,80600,79800,10783368,864327000000.0,478777000000000.0
2021-12-24,80500,80200,80800,80200,12086380,973662000000.0,480567000000000.0
2021-12-23,79900,79800,80000,79300,13577498,1083060000000.0,476986000000000.0
2021-12-22,79400,78900,79400,78800,17105892,1354310000000.0,474001000000000.0
